ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility,market_cap,avg_volume,revenue_growth,earnings_growth,earnings_q_growth,forward_pe,target_upside,recommendation,sector,industry,binary_risk_review,sector_rs,leadership_momentum,beaten_down_reversal,fresh_catalyst_acceleration,best_lens,lens_winner,lens_data_missing,risk_score,final_quant_score
ARX,Accelerant Holdings Class A Common Shares,N,N,19.690000534057617,0.006131877419759846,0.7580357919086012,0.2589514131605468,0.7517794426163802,-0.07210173557046218,1.1036326128507006,0.20487091343853003,0.3618758085865974,1.4817550676054536,135334923.06575775,1.1331071634552774,4285129984.0,3784470,0.572,8.0,7.943,20.98936,0.1910795742524074,2.66667,Financial Services,Insurance Brokers,False,0.16885229406292956,80.32659007798443,64.91846226983857,89.54828728771906,89.54828728771906,fresh_catalyst_acceleration,False,45.25716145833333,87.06584232436063
AUGO,Aura Minerals Inc. - Common Shares,N,N,89.12000274658203,0.02803091748461095,0.5793600171873889,0.3219363259903598,0.13638857204007127,-0.16729224163710954,2.1356698869027255,0.174527202854871,0.3637974470597314,0.9036239769830494,72729454.46809769,0.8513284785553006,7086728192.0,1001540,0.764,22.447,25.72,8.711487,0.13490275641783978,1.44444,Basic Materials,Gold,False,0.3213909449734521,80.76624001710023,74.17026435366627,88.03741782557866,88.03741782557866,fresh_catalyst_acceleration,False,45.634765625,86.48727353168334
SBET,"Sharplink, Inc. - Common Stock",N,N,8.880000114440918,0.1699604658654965,0.385335464247478,0.5283993462816918,0.20652173279251196,-0.538461527022937,0.947368470585578,0.2859315147632182,0.45345032635302984,1.1862774404762635,62055075.5335927,0.7318258765963211,1779263104.0,9459566,15.539,,,4.120603,0.8693378048780489,1.14286,Financial Services,Capital Markets,False,0.4383002271840746,85.13960997134973,87.07624153891364,78.43600661501888,87.07624153891364,beaten_down_reversal,False,45.46386718750001,86.30060466287334
ASST,"Strive, Inc. - Class A Common Stock",N,N,23.1200008392334,0.43335412536590523,0.9363485470483739,0.43424315357125565,1.657471419092626,-0.870258129993411,2.226797063827765,0.5635620464093236,0.7253345839149377,1.969986059253671,103644132.52170563,0.9468750204398914,1949717632.0,4726504,0.946,,,-20.036865,0.22355105795768182,1.2,Financial Services,Asset Management,False,0.3441440344736384,83.53801664755768,86.3442646616542,82.69196249908262,86.3442646616542,beaten_down_reversal,False,45.048828125,85.87063764869853
FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",N,N,38.02000045776367,0.054353827227649365,0.47307250075433016,0.1847927789647441,0.24737536183618092,-0.48559060243620356,0.526294688504928,0.1623445754094619,0.23453585208689587,1.2173921929370273,154663305.14104843,0.8248681245114065,8088822272.0,4024637,1.208,3.375,1.921,24.248823,0.44244105409153955,1.85714,Financial Services,Capital Markets,False,0.09469365986712686,79.37979342727326,84.35327823921989,86.53838369877724,86.53838369877724,fresh_catalyst_acceleration,False,42.120768229166664,85.85317934516608
IAG,Iamgold Corporation Ordinary Shares,N,N,21.540000915527344,0.050731751976943684,0.47939562463930185,0.23156096040075913,-0.010110262455902408,-0.12332107517018642,1.3136412400305955,0.1632554389005103,0.29563915875950464,1.0129552865300075,115905491.98297977,0.6663510290211524,11756890112.0,5675387,0.475,1.914,1.929,8.629831,0.14942544924720735,1.76923,Basic Materials,Gold,False,0.23101557938385142,79.76793863956345,72.44977337852495,87.52251533134321,87.52251533134321,fresh_catalyst_acceleration,False,39.3896484375,85.8485119640727
HL,Hecla Mining Company Common Stock,N,N,21.43000030517578,0.02949561322127847,0.4356394963611294,0.20416284498799753,0.051655899404883465,-0.3258956106116364,1.5205257943262498,0.1744452193393513,0.3000321001879931,1.085106012743863,698192012.7236509,0.7044084036534923,13669117952.0,35898627,0.524,0.929,1.043,19.156834,0.1469578017664377,2.3,Basic Materials,Other Precious Metals & Mining,False,0.20361746397108982,77.58828857183128,78.6230005608141,86.46207362259518,86.46207362259518,fresh_catalyst_acceleration,False,35.314127604166664,85.23646402767523
AYA,Aya Gold & Silver Inc. - Common Shares,N,N,29.290000915527344,0.08803866391220594,0.42947785469540545,0.3629595731728261,0.657611816019332,0.0,2.1664865854624153,0.12472163427096938,0.327887017832454,1.6679916063281959,26389239.1902256,0.8415356833546068,4028691200.0,690527,1.507,2.833,2.92,12.16087,,,Basic Materials,Silver,False,0.3624141921559184,81.12358593955967,59.15879023941621,87.72252133814891,87.72252133814891,fresh_catalyst_acceleration,False,51.70735677083333,85.14392579501197
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",N,N,25.6299991607666,0.18822436362465922,0.4175884551393816,0.426266006683681,0.3575212023328249,-0.5944712714567308,0.9256197109499935,0.2816601692263425,0.47955291821809887,1.2870260017511534,799179686.3637352,0.8040945661449582,14356787200.0,38867356,21.678,,,25.319149,0.3389357142857141,,Financial Services,Capital Markets,False,0.3361668875860637,81.52470134235976,85.56227191968509,79.52620049519071,85.56227191968509,beaten_down_reversal,False,37.52278645833333,84.82353817288498
EQX,Equinox Gold Corp. Common Shares,N,N,13.449999809265137,0.044254634298111606,0.4322073709694454,0.1128878282752881,-0.1878538331803099,-0.28006446845429667,0.5634653423747438,0.14567349159219978,0.2906872368054172,0.8721396137851126,186416347.6767063,0.6263097569695905,15165302784.0,14479177,1.693,4.517,8.671,8.581735,0.0007698229407235857,1.45455,Basic Materials,Gold,False,0.11234244725838038,71.30249208780178,76.05949794414191,86.65007234241493,86.65007234241493,fresh_catalyst_acceleration,False,36.394856770833336,84.74794100120329
FSM,Fortuna Mining Corp. Common Shares,N,N,12.8100004196167,0.07647065800484598,0.4606613171013696,0.3044807350012859,0.11197915890564558,-0.06222543464789587,0.6811024425201582,0.18644071389601868,0.3578833930456231,1.13206083101146,63631541.2750721,0.5669694576208815,3628437504.0,5403974,0.382,1.014,1.023,6.9694734,0.18270799347471445,2.0,Basic Materials,Gold,False,0.3039353539843782,81.29057196569208,67.8061022032447,86.22830707124749,86.22830707124749,fresh_catalyst_acceleration,False,38.802083333333336,84.51524480651989
BTG,B2Gold Corp Common shares (Canada),N,N,5.829999923706055,0.08364308544478538,0.5142857319791159,0.2413454343502235,0.10134396363971132,-0.05286171206317314,0.5972602113368357,0.16868797008167769,0.3462959396496639,1.0859686923845522,147239350.74810386,0.681138207804206,7477260288.0,24261401,0.14,1.854,1.703,5.358174,0.08657243816254412,1.76923,Basic Materials,Gold,False,0.24080005333331578,77.50155728890442,64.48908720057582,86.5221465718571,86.5221465718571,fresh_catalyst_acceleration,False,38.69140625,84.24487900387996
REAX,Real REMAX Group Inc. - Common Stock,N,N,23.6299991607666,7.46953386518053,13.321211819521757,11.98351564821654,8.088461549042245,-0.11132008179147024,13.861634380318263,4.256367293858105,7.006912141725362,1.450091943910164,17272709.49131787,20.66375867423059,459644192.0,539666,0.296,,,-527.25,1.3470839260312943,1.0,Real Estate,Real Estate Services,False,11.958091491825213,84.79594734217693,72.61317675070616,78.04382538737123,84.79594734217693,leadership_momentum,False,56.884765625,83.40738855545
HMY,Harmony Gold Mining Company Limited,N,N,21.030000686645508,-0.04495911673649022,0.30216725593702143,0.1901528350788937,0.09415891307512614,-0.1768597347637022,0.6140492463323772,0.05657156798387142,0.22029063182660935,1.1012999791149372,69839026.08574867,0.6667344676588622,12640411648.0,3601100,0.492,1.989,2.003,7.9333334,0.024486900642610054,2.33333,Basic Materials,Gold,False,0.18960745406198598,74.6280684398885,62.85049193539873,85.91670448804753,85.91670448804753,fresh_catalyst_acceleration,False,43.518880208333336,83.39734892398829
WPM,Wheaton Precious Metals Corp Common Shares (Canada),N,N,157.99000549316406,0.051514179655002046,0.39530122960360514,0.2140224184225028,0.08060309023946344,-0.04244160151640364,0.6815361857589735,0.1499910152379098,0.29524098367692453,1.2396281690912698,341243102.1701431,0.5576258847254038,69636349952.0,2163485,0.847,0.857,0.859,30.307104,0.13876606013174198,1.3125,Basic Materials,Gold,False,0.2134770374055951,76.73203471716326,63.08799256269506,85.70065332504572,85.70065332504572,fresh_catalyst_acceleration,False,31.767578124999993,83.3846928378953
PGY,Pagaya Technologies Ltd. - Class A Ordinary Shares,N,N,23.260000228881836,0.14920951047010966,0.3185941629074742,0.5212557414593288,1.0243690767818232,-0.4690709997771785,1.1860901765364038,0.08832716468731139,0.2430326714664126,0.6522305157899777,62363572.76725769,0.7402653363825155,1833699968.0,3467985,0.186,1.433,1.718,5.399085,0.3284804367606915,1.2,Technology,Software - Infrastructure,False,0.5428620650204952,77.22497083207004,84.7006586109516,73.16996067712701,84.7006586109516,beaten_down_reversal,False,46.341145833333336,83.30685699201983
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",N,N,8.260000228881836,-0.08120128596460818,0.7611940571653526,1.0146342490273974,0.610136460938858,-0.08120128596460818,3.5635361823256746,0.22361309753036007,0.5345173948464441,1.092519232934735,138241377.59585142,1.2806244001513518,3628301312.0,16724001,0.657,,,-27.881235,0.24843945068664164,1.66667,Healthcare,Biotechnology,True,0.7984681581305724,85.01932495009055,63.2207419355873,81.40714847261124,85.01932495009055,leadership_momentum,False,45.60058593750001,83.15586925401183
